index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
288,000760.SZ,760,*ST斯太,湖北,汽车配件,斯太尔动力股份有限公司,主板,SZSE,19970627,N
289,000761.SZ,761,本钢板材,辽宁,普钢,本钢板材股份有限公司,主板,SZSE,19980115,N
290,000762.SZ,762,西藏矿业,西藏,小金属,西藏矿业发展股份有限公司,主板,SZSE,19970708,N
291,000766.SZ,766,通化金马,吉林,化学制药,通化金马药业集团股份有限公司,主板,SZSE,19970430,S
292,000767.SZ,767,漳泽电力,山西,火力发电,山西漳泽电力股份有限公司,主板,SZSE,19970609,N
293,000768.SZ,768,中航飞机,陕西,航空,中航飞机股份有限公司,主板,SZSE,19970626,S
294,000776.SZ,776,广发证券,广东,证券,广发证券股份有限公司,主板,SZSE,19970611,S
295,000777.SZ,777,中核科技,江苏,机械基件,中核苏阀科技实业股份有限公司,主板,SZSE,19970710,N
296,000778.SZ,778,新兴铸管,河北,钢加工,新兴铸管股份有限公司,主板,SZSE,19970606,S
297,000779.SZ,779,甘咨询,甘肃,建筑工程,甘肃工程咨询集团股份有限公司,主板,SZSE,19970528,N
298,000780.SZ,780,平庄能源,内蒙,煤炭开采,内蒙古平庄能源股份有限公司,主板,SZSE,19970606,N
299,000782.SZ,782,美达股份,广东,化纤,广东新会美达锦纶股份有限公司,主板,SZSE,19970619,N
300,000783.SZ,783,长江证券,湖北,证券,长江证券股份有限公司,主板,SZSE,19970731,S
