ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20140625,1376.706,1383.013,1383.013,1366.085,1384.063,-7.357,-0.5316,13895424.78,25052770.9185
399102.SZ,20140626,1408.386,1377.88,1411.621,1377.88,1376.706,31.68,2.3011,18635117.58,34326830.9385
399102.SZ,20140627,1414.385,1409.858,1423.326,1405.464,1408.386,5.999,0.4259,18283794.08,34164122.3168
399102.SZ,20140630,1434.383,1414.947,1434.383,1405.737,1414.385,19.998,1.4139,18787736.36,34382168.2875
399102.SZ,20140701,1442.329,1435.987,1444.45,1429.925,1434.383,7.946,0.554,19457801.89,34672239.8008
399102.SZ,20140702,1450.73,1444.008,1452.519,1430.657,1442.329,8.401,0.5825,20532463.11,36251826.0775
399102.SZ,20140703,1454.765,1449.75,1461.019,1442.873,1450.73,4.035,0.2781,20417851.9,35608402.1088
399102.SZ,20140704,1450.859,1454.374,1459.222,1444.546,1454.765,-3.906,-0.2685,19215140.4,33754026.1251
399102.SZ,20140707,1440.693,1452.035,1452.035,1429.105,1450.859,-10.166,-0.7007,18228061.93,31780414.8513
399102.SZ,20140708,1458.623,1439.382,1458.623,1426.12,1440.693,17.93,1.2445,18990540.91,33694893.9303
399102.SZ,20140709,1431.102,1457.35,1464.665,1430.859,1458.623,-27.521,-1.8868,21751111.53,38173836.9484
399102.SZ,20140710,1421.695,1431.026,1437.774,1419.765,1431.102,-9.407,-0.6573,16514057.52,29716564.1324
399102.SZ,20140711,1421.582,1420.995,1433.383,1415.325,1421.695,-0.113,-0.0079,15365743.16,27890269.4642
399102.SZ,20140714,1433.593,1422.466,1433.91,1410.991,1421.582,12.011,0.8449,17042173.83,30878249.2991
399102.SZ,20140715,1409.249,1430.712,1431.214,1399.262,1433.593,-24.344,-1.6981,19208905.88,33258430.3084
399102.SZ,20140716,1385.981,1405.733,1411.383,1377.817,1409.249,-23.268,-1.6511,16034403.04,28027240.934
399102.SZ,20140717,1379.963,1382.05,1387.272,1370.885,1385.981,-6.018,-0.4342,11842502.09,21050557.5396
399102.SZ,20140718,1373.109,1375.879,1388.67,1368.667,1379.963,-6.854,-0.4967,11155743.37,19311483.696
399102.SZ,20140721,1371.059,1371.333,1376.419,1353.908,1373.109,-2.05,-0.1493,12051162.79,20787911.6672
399102.SZ,20140722,1391.716,1369.672,1391.735,1368.896,1371.059,20.657,1.5066,12251800.26,21147637.2025
399102.SZ,20140723,1353.18,1391.553,1392.298,1347.51,1391.716,-38.536,-2.769,14436101.11,25155893.6129
399102.SZ,20140724,1332.857,1350.872,1350.872,1316.462,1353.18,-20.323,-1.5019,14051676.34,23820674.3995
399102.SZ,20140725,1345.137,1331.483,1347.307,1331.331,1332.857,12.28,0.9213,10526882.2,18069393.3888
399102.SZ,20140728,1371.66,1347.967,1373.14,1345.645,1345.137,26.523,1.9718,13836976.1,22428646.415
399102.SZ,20140729,1389.952,1373.011,1394.346,1369.198,1371.66,18.292,1.3336,15257236.45,25686811.296
399102.SZ,20140730,1403.982,1389.876,1405.07,1388.815,1389.952,14.03,1.0094,15005274.94,26036911.6114
399102.SZ,20140731,1407.112,1403.286,1407.3,1395.912,1403.982,3.13,0.2229,13773804.51,22911026.7786
399102.SZ,20140801,1389.49,1403.201,1407.279,1387.345,1407.112,-17.622,-1.2524,16091302.74,25580283.439
399102.SZ,20140804,1397.178,1390.083,1397.329,1389.592,1389.49,7.688,0.5533,12393537.78,20114650.3638
399102.SZ,20140805,1425.197,1397.368,1426.078,1388.313,1397.178,28.019,2.0054,19490645.38,32314270.5905
399102.SZ,20140806,1429.523,1422.303,1431.528,1418.9,1425.197,4.326,0.3035,15491641.22,25903112.2552
399102.SZ,20140807,1424.445,1429.211,1443.604,1423.735,1429.523,-5.078,-0.3552,16000260.53,26280693.6856
399102.SZ,20140808,1438.461,1428.696,1442.052,1428.696,1424.445,14.016,0.984,14450098.96,24448174.5666
